split,source,video_uid,clip_uid,annotator_uid,ann_idx,query,response,label,video_start_time,video_end_time,video_fps,video_length
train,moments,dd08bc58-b614-4ba7-b883-a213560621dd,9df49083-577b-43f9-9874-6e4b21f104b4,2897148146987010,0,"As I start to arrange and organize items, remind me to sanitize my hands.",Remember to sanitize your hands.,arrange_/_organize_other_items,187.25048,215.36786,30.0,10499
train,moments,dd08bc58-b614-4ba7-b883-a213560621dd,9df49083-577b-43f9-9874-6e4b21f104b4,2897148146987010,2,"When I start to clean or wipe the table, remind me to sanitize my hands.",Remember to sanitize your hands.,clean_/_wipe_other_surface_or_object,331.8498,346.28784,30.0,10499
train,moments,dd08bc58-b614-4ba7-b883-a213560621dd,9df49083-577b-43f9-9874-6e4b21f104b4,2897148146987010,4,"As I start to water the flowers, remind me to put on my gardening gloves.",Remember to put on your gardening gloves.,water_soil_/_plants_/_crops,30.52441,35.91906,30.0,10499
train,moments,dd08bc58-b614-4ba7-b883-a213560621dd,9df49083-577b-43f9-9874-6e4b21f104b4,2352133114867140,0,"Next time I start to clean or wipe a table or kitchen counter, please remind me to put on gloves.",Remember to put on gloves before cleaning.,clean_/_wipe_a_table_or_kitchen_counter,331.9862,345.64717,30.0,10499
train,moments,dd08bc58-b614-4ba7-b883-a213560621dd,9df49083-577b-43f9-9874-6e4b21f104b4,2352133114867140,1,"When I use the phone after arranging the documents on the work table, remind me to check new emails.",Remember to check new emails.,use_phone,346.83093,349.0,30.0,10499
train,moments,dd08bc58-b614-4ba7-b883-a213560621dd,9df49083-577b-43f9-9874-6e4b21f104b4,2352133114867140,2,"As I start to fill the pot with water, remind me to check if the flowers need more water.",Remember to check if the flowers need more water.,fill_a_pot_/_bottle_/_container_with_water,44.73869,47.86078,30.0,10499
train,moments,dd08bc58-b614-4ba7-b883-a213560621dd,9df49083-577b-43f9-9874-6e4b21f104b4,2352133114867140,3,"As I start to walk upstairs, remind me to check if I have all the documents with me.",Remember to check if you have all the documents with you.,walk_down_stairs_/_walk_up_stairs,287.05063,299.79519,30.0,10499
train,moments,dd08bc58-b614-4ba7-b883-a213560621dd,9df49083-577b-43f9-9874-6e4b21f104b4,2352133114867140,4,"When I start using the laptop, remind me to start a timer for 30 minutes.",Start a timer for 30 minutes now.,use_a_laptop_/_computer,281.759,284.65295,30.0,10499
train,moments,59dac266-4b43-43b1-9fe3-6013ade33eb6,fbafc354-121f-40f1-a553-bbae0d2f66ed,2259958324043911,2,"When I start to cut the dough, remind me to clean the knife before using it.",Remember to clean the knife before using it.,cut_dough,475.50962860000004,480.0210286,30.0,44311
train,moments,59dac266-4b43-43b1-9fe3-6013ade33eb6,1c861004-cfd1-4497-8e32-5cb4ad1ff276,2771561346234777,3,Remind me to check the frying dough when I turn on the stove burner.,Please check the frying dough now.,turn-on_/_light_the_stove_burner,386.2338386,387.2330286,30.0,44311
train,moments,59dac266-4b43-43b1-9fe3-6013ade33eb6,1c861004-cfd1-4497-8e32-5cb4ad1ff276,2771561346234777,4,"When I start to serve the next fried dough onto the bowl, remind me to wash my hands.",Remember to wash your hands.,serve_food_onto_a_plate,395.2023686,396.2020286,30.0,44311
train,moments,59dac266-4b43-43b1-9fe3-6013ade33eb6,1c861004-cfd1-4497-8e32-5cb4ad1ff276,2771561346234777,5,"When I start to knead and roll out the dough again after talking with woman X, remind me to clean my hands first.",Remember to clean your hands before kneading the dough.,knead_/_shape_/_roll-out_dough,423.8930386,423.8930386,30.0,44311
train,moments,59dac266-4b43-43b1-9fe3-6013ade33eb6,1c861004-cfd1-4497-8e32-5cb4ad1ff276,2771561346234777,6,Remind me to ask about the recipe when I start talking to woman X again.,Remember to ask about the recipe.,converse_/_interact_with_someone,470.13987860000003,474.1390286,30.0,44311
train,moments,59dac266-4b43-43b1-9fe3-6013ade33eb6,1c861004-cfd1-4497-8e32-5cb4ad1ff276,2259958324043911,0,"When I start to knead the second dough after dropping it on the pastry board, remind me to add flour to it.",Remember to add flour to the dough.,knead_/_shape_/_roll-out_dough,6.4312286,18.0210286,30.0,44311
